"Country, Other",Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population,Continent
Trinidad and Tobago,3181,5052,-37,2261,43,64,-33,31,1406915,North America
Tunisia,18863,22940,-18,1569,313,431,-27,26,12021247,Africa
Turkey,604558,649938,-7,7044,1911,1838,4,22,85826038,Asia
Turks and Caicos Islands,18,39,-54,455,1,0,100,25,39575,North America
United Arab Emirates,5830,10067,-42,578,9,22,-59,0.9,10086183,Asia
UK,307297,386536,-20,4488,1005,1242,-19,15,68470433,Europe
USA,574030,1104395,-48,1718,11639,15011,-22,35,334183570,North America
Uganda,294,447,-34,6,6,13,-54,0.1,48104619,Africa
Ukraine,191640,235256,-19,4426,1695,1558,9,39,43303109,Europe
Uruguay,36823,49546,-26,10541,117,122,-4,33,3493460,South America
Uzbekistan,1666,4133,-60,49,17,18,-6,0.5,34263797,Asia
Vanuatu,8,0,800,25,0,0,0,0,318895,Oceania
Venezuela,4795,9000,-47,169,60,61,-2,2,28303882,South America
Vietnam,281944,182357,55,2854,568,613,-7,6,98773702,Asia
Yemen,62,125,-50,2,16,19,-16,0.5,30901501,Asia
Zambia,1685,2262,-26,88,7,5,40,0.4,19226584,Africa
Zimbabwe,1968,1000,97,129,12,8,50,0.8,15217354,Africa
